BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	127	D	"INLAND ONLY You are on board the stand-on vessel in a crossing situation.  You sound a one blast whistle signal,  and the give-way vessel answers with a two-blast signal. You should then sound the danger signal and __________."	maintain course and speed	come around sharply to port	maneuver around the stern of the other vessel	stop and back your vessel if necessary until signals are agreed upon	
1	128	D	BOTH INTERNATIONAL & INLAND  You are on a sailing vessel.  While under sail you decide to use your engine to assist in propulsion.  Which day signal would you show?	D	C	B	None of these day signals are correct.	DIAGRAM_16
1	129	B	INLAND ONLY You are proceeding in a channel in inland waters and are meeting an outbound vessel. Your responsibilities include __________.	keeping to that side of the channel which is on your vessel's port side	exchanging whistle signals if passing within half a mile	stopping your vessel and letting the outbound vessel initiate signals for passing	giving the outbound vessel the right of way	
1	130	D	INLAND ONLY Your vessel must stay within a narrow channel to be navigated safely.  Another vessel is crossing your course from starboard to port.  You do NOT think she will pass safely.  You are required to __________.	slow to bare steerageway	back down	sound one short blast to indicate that you are holding course and speed	sound the danger signal	
1	131	B	INLAND ONLY You are navigating in a narrow channel and must remain in the channel for safe operation. Another vessel is crossing the channel ahead of you from your starboard.  You are doubtful of intention of the crossing vessel. You MUST  __________.	"stop your vessel, since the other vessel has the right of way"	sound the danger signal	contact him on the radiotelephone to make a passing agreement	stop your engines until you have slowed to bare steerageway	
1	132	C	"INLAND ONLY Which statement is TRUE of a power-driven vessel proceeding downbound with the current, when meeting an upbound vessel on the Western Rivers?"	She shall not impede the upbound vessel.	She shall pass on the port side of the other.	She shall propose the manner of passage.	All of the above	
1	133	A	INLAND ONLY A power-driven vessel operating in a narrow channel with a following current on the Great Lakes or Western Rivers is meeting an upbound vessel.  Which statement is TRUE?	The downbound vessel has the right of way.	The upbound vessel must initiate the required maneuvering signals.	The upbound vessel must propose the manner of passing.	All of the above	
1	134	B	INLAND ONLY Which is TRUE of a vessel downbound with a following current when meeting an upbound vessel on the Western Rivers?	Neither vessel has the right-of-way.	She has the right-of-way only if she is power-driven.	"She does not have the right-of-way, since the other vessel  is not crossing the river."	She must wait for a whistle signal from the upbound vessel.	
1	135	C	BOTH INTERNATIONAL & INLAND  You are on a 30-meter trawler.  Which day signal must you show while trawling?	A	B	C	None of these day signals are correct.	DIAGRAM_16
1	136	D	INLAND ONLY Yellow lights are NOT used to identify __________.	a dredge pipeline on a trestle	the heads of tows being pushed ahead by tugboats	purse seiners	a seaplane on the water	
1	137	C	INLAND ONLY A vessel displaying an alternating red and yellow light is __________.	in distress	enforcing the law	engaged in public safety activities	restricted in its ability to maneuver	
1	138	B	INLAND ONLY A law enforcement vessel patrolling a marine regatta may show either a flashing blue light or __________.	two amber lights in a horizontal line	an alternately flashing red and yellow light	a high intensity flashing white light (strobe)	a fixed green light over a red flashing light	
1	139	B	INTERNATIONAL ONLY  Which day-shape must you show on the forward end of an inconspicuous partially submerged vessel or object being towed more than 200 meters in length?	A	B	D	No day-shape must be shown.	DIAGRAM_16
1	140	A	INLAND ONLY You are the stand-on vessel in a crossing situation.  The other vessel is showing an alternating red and yellow light.  Which action should you take?	Stand on.	Heave to.	Alter course to assist.	Yield the right-of-way.	
1	141	C	INLAND ONLY You are the stand-on vessel in an overtaking situation.  The other vessel is showing an alternately flashing red-and-yellow light.  What action should you take?	Alter course to assist	Give-way	Stand on	Heave to	
1	142	B	INLAND ONLY The special light for a vessel engaged in public safety activities must __________.	be on top of the mast or highest structure of the vessel	not interfere with the visibility of the navigation lights	be as far forward as possible	not be visible more than 22 1/2 degrees abaft the beam	
1	143	C	INLAND ONLY A light used to signal passing intentions must  be an __________.	alternating red and yellow light	alternating white and yellow light	all-round white or yellow light	all-round white light only	
1	144	D	INLAND ONLY A light used to signal passing intentions must  be an __________.	all-round yellow light only	all-round white light only	alternating red and yellow light	all-round white or yellow light	
1	145	A	INLAND ONLY A light used to signal passing intentions must  be a(n) __________.	all-round white or yellow light	all-round yellow light only	all-round white light only	225° white light only	
1	146	C	INLAND ONLY What characteristic must a light have if used to signal passing intentions?	It must be an all-round white light.	It must be an alternating blue and white light.	It must be either an all-round white or an all-round yellow light.	It must be an alternating red and yellow light.	
1	147	D	INLAND ONLY What characteristic must a light used to indicate passing intentions have?	It must be an alternating red and yellow light.	It must be an all-round white light.	It must be an all-round yellow light.	It must be either an all-round white or an all-round yellow light.	
1	148	C	"INLAND ONLY  In a narrow channel, you are underway on vessel ""A"" and desire to overtake vessel ""B"".  After you sound two short blasts on your whistle, vessel ""B"" sounds five short  and rapid blasts on the whistle.  You should __________."	"pass with caution on the port side of vessel ""B"""	wait for the other vessel to initiate a signal	initiate another signal after the situation has stabilized	"immediately answer with the danger signal, and then sound one short blast"	
1	149	C	"INLAND ONLY A power-driven vessel pushing ahead or towing alongside on the Mississippi River, above the Huey P. Long  Bridge, shall carry __________."	"two masthead lights, sidelights, and stern light"	"two masthead lights, sidelights, and two towing lights"	sidelights and two towing lights	"one masthead light, sidelights, and stern light"	
1	150	C	"INLAND ONLY A power-driven vessel, when leaving a dock or berth, must sound what signal?"	Three short blasts	A long blast	A prolonged blast	No signal is required.	
